iter	RMSE
0	7417.169748
1	7032.70881
2	6676.523783
3	6363.781844
4	6085.016452
5	5827.714633
6	5599.973852
7	5396.060794
8	5212.422152
9	5035.857791
10	4886.464574
11	4744.155472
12	4625.638245
13	4512.963336
14	4401.745121
15	4314.107132
16	4230.504286
17	4148.124909
18	4077.2834
19	4014.788954
20	3952.135019
21	3896.040974
22	3847.455987
23	3805.078111
24	3760.434435
25	3719.713816
26	3688.09839
27	3662.280742
28	3628.989476
29	3600.843362
30	3577.59486
31	3556.744269
32	3533.671192
33	3513.731996
34	3492.76979
35	3474.894461
36	3456.722811
37	3443.968901
38	3426.013699
39	3411.969225
40	3394.989794
41	3383.514593
42	3372.950555
43	3358.795205
44	3348.360733
45	3341.716316
46	3331.805268
47	3324.078617
48	3314.363709
49	3303.386348
50	3292.726613
51	3284.185263
52	3273.881016
53	3264.871166
54	3259.419282
55	3249.990707
56	3241.882968
57	3234.557478
58	3224.714563
59	3215.216115
60	3208.551621
61	3203.036838
62	3194.271946
63	3187.375731
64	3182.397118
65	3179.062739
66	3174.17037
67	3167.878084
68	3164.755966
69	3159.903258
70	3153.507224
71	3147.940805
72	3142.827178
73	3139.79408
74	3136.176006
75	3130.985134
76	3126.700034
77	3122.09597
78	3117.173602
79	3111.100581
80	3107.391731
81	3103.135298
82	3100.915521
83	3096.901362
84	3093.587631
85	3089.11005
86	3086.903152
87	3084.016401
88	3079.900423
89	3075.069298
90	3072.461311
91	3068.712835
92	3066.660603
93	3062.648876
94	3058.374511
95	3054.616779
96	3051.367933
97	3048.357535
98	3043.481327
99	3041.635555
100	3040.446205
101	3038.425758
102	3035.107676
103	3032.668638
104	3029.004181
105	3026.443938
106	3022.980768
107	3020.10236
108	3016.804839
109	3012.967062
110	3010.600894
111	3006.612963
112	3005.558024
113	3003.015207
114	3000.674538
115	2997.197622
116	2994.666865
117	2992.670638
118	2990.778296
119	2986.530277
120	2985.168407
121	2983.956006
122	2982.169884
123	2980.235556
124	2977.304291
125	2976.249491
126	2974.954894
127	2973.618002
128	2971.762805
129	2969.268534
130	2966.206705
131	2963.257242
132	2961.743667
133	2960.505602
134	2956.978868
135	2954.58917
136	2952.293842
137	2949.412288
138	2947.897348
139	2946.544897
140	2945.042195
141	2943.261284
142	2941.270295
143	2939.623166
144	2938.463945
145	2936.650869
146	2933.456319
147	2932.241023
148	2931.250448
149	2930.311459
150	2928.620548
151	2926.502977
152	2924.631787
153	2923.286661
154	2921.891229
155	2919.639433
156	2918.006106
157	2915.470713
158	2914.565744
159	2912.973672
160	2911.185385
161	2908.686769
162	2907.614801
163	2906.274578
164	2904.225824
165	2902.600428
166	2901.201378
167	2899.729429
168	2898.3327
169	2897.209202
170	2895.829741
171	2894.834997
172	2894.086007
173	2893.13288
174	2891.67453
175	2890.596873
176	2889.616828
177	2888.726645
178	2887.641844
179	2886.963016
180	2886.080243
181	2884.630804
182	2882.993879
183	2881.915491
184	2880.379785
185	2879.379575
186	2878.618636
187	2877.86686
188	2876.85748
189	2876.215422
190	2875.157031
191	2874.220168
192	2873.132368
193	2872.059906
194	2870.78433
195	2870.00512
196	2868.996824
197	2868.048279
198	2867.06586
199	2865.790185
200	2864.937259
201	2863.966322
202	2863.281854
203	2862.717005
204	2862.022769
205	2861.253253
206	2860.21629
207	2859.128885
208	2857.827976
209	2857.188612
210	2856.146484
211	2855.125584
212	2853.457343
213	2852.296431
214	2851.532687
215	2850.88696
216	2850.406897
217	2849.55809
218	2848.47465
219	2847.404951
220	2846.381808
221	2845.511315
222	2844.725587
223	2844.163091
224	2843.787008
225	2842.858003
226	2841.907513
227	2841.220614
228	2840.149313
229	2839.443749
230	2838.632761
231	2838.056885
232	2837.328488
233	2836.430091
234	2835.57359
235	2834.751772
236	2833.378857
237	2832.701748
238	2831.83154
239	2830.741557
240	2829.157162
241	2828.141396
242	2827.633687
243	2827.016814
244	2826.005246
245	2825.111967
246	2824.250265
247	2823.712808
248	2823.025217
249	2822.32178
250	2821.58607
251	2820.584595
252	2820.069503
253	2819.168413
254	2818.463224
255	2817.572521
256	2817.17794
257	2816.788668
258	2815.938409
259	2815.397968
260	2814.768474
261	2813.738362
262	2812.689644
263	2812.153074
264	2811.41346
265	2810.738204
266	2810.209898
267	2809.465238
268	2808.987603
269	2808.653403
270	2808.214133
271	2807.508068
272	2806.79639
273	2805.500603
274	2804.911589
275	2804.304051
276	2803.826229
277	2803.219982
278	2802.722348
279	2801.580938
280	2801.230292
281	2800.709735
282	2800.162436
283	2799.643322
284	2799.222834
285	2798.90932
286	2798.132575
287	2797.436588
288	2796.75683
289	2795.950688
290	2795.367441
291	2795.065303
292	2794.562417
293	2793.817307
294	2793.359249
295	2792.396468
296	2791.712041
297	2790.890557
298	2790.593711
299	2790.015363
300	2789.340703
301	2788.887026
302	2788.216308
303	2787.718435
304	2787.301403
305	2786.894738
306	2786.502509
307	2785.835594
308	2785.40419
309	2784.720862
310	2784.273728
311	2783.331914
312	2782.979694
313	2782.146574
314	2781.855271
315	2781.524254
316	2781.264351
317	2780.944973
318	2780.472497
319	2780.255382
320	2779.997756
321	2779.656457
322	2779.183534
323	2778.659579
324	2778.495185
325	2778.077576
326	2777.814787
327	2777.476271
328	2776.36043
329	2775.637831
330	2775.081283
331	2774.407244
332	2773.879348
333	2773.604714
334	2773.295468
335	2772.899495
336	2772.415126
337	2772.066513
338	2771.376664
339	2771.194425
340	2770.725721
341	2770.388321
342	2769.550969
343	2769.146908
344	2768.7093
345	2768.282065
346	2768.072013
347	2767.834634
348	2767.322026
349	2766.803826
350	2766.382577
351	2765.869792
352	2765.407526
353	2765.115474
354	2764.745828
355	2764.045954
356	2763.655955
357	2763.115934
358	2762.506854
359	2762.310301
360	2762.066943
361	2761.688742
362	2761.245404
363	2761.020992
364	2760.479327
365	2760.137625
366	2759.701252
367	2759.037384
368	2758.403995
369	2758.077603
370	2757.885947
371	2757.219858
372	2756.921407
373	2756.502479
374	2756.249298
375	2755.864103
376	2755.4017
377	2754.900147
378	2754.526715
379	2754.117179
380	2753.678553
381	2753.285454
382	2752.947472
383	2752.61212
384	2752.178884
385	2751.942003
386	2751.512075
387	2751.210687
388	2750.85287
389	2750.306034
390	2750.031953
391	2749.654788
392	2749.097865
393	2748.730577
394	2748.443247
395	2748.156926
396	2747.559817
397	2746.982997
398	2746.519911
399	2746.248702
400	2745.731629
401	2745.262711
402	2744.900055
403	2744.420938
404	2743.995127
405	2743.449676
406	2743.198851
407	2742.912287
408	2742.291486
409	2741.83733
410	2741.480284
411	2741.226437
412	2740.914106
413	2740.591908
414	2739.9991
415	2739.753971
416	2739.382904
417	2739.158994
418	2738.841768
419	2738.724815
420	2738.498105
421	2738.13854
422	2738.016406
423	2737.693885
424	2737.057405
425	2736.5503
426	2736.398971
427	2736.162943
428	2735.643459
429	2735.414342
430	2735.116592
431	2734.744214
432	2734.343368
433	2734.076545
434	2733.824812
435	2733.385641
436	2732.92754
437	2732.67967
438	2732.223373
439	2731.793688
440	2731.52938
441	2731.203027
442	2730.762529
443	2730.570568
444	2730.267541
445	2729.86371
446	2729.76821
447	2729.339658
448	2728.93205
449	2728.606383
450	2728.309203
451	2728.146967
452	2727.934288
453	2727.583728
454	2727.284909
455	2727.083519
456	2726.931588
457	2726.516484
458	2726.221427
459	2726.033122
460	2725.738847
461	2725.388486
462	2725.008921
463	2724.586712
464	2724.352588
465	2724.071819
466	2723.842929
467	2723.703056
468	2723.38357
469	2723.151821
470	2722.865492
471	2722.521266
472	2722.178645
473	2721.858766
474	2721.622839
475	2721.382444
476	2721.115059
477	2720.809794
478	2720.60482
479	2720.176453
480	2719.817753
481	2719.538952
482	2719.251308
483	2718.943843
484	2718.704432
485	2718.284868
486	2717.916522
487	2717.39927
488	2717.165836
489	2716.825707
490	2716.56061
491	2716.276695
492	2715.90227
493	2715.6469
494	2715.329962
495	2715.08885
496	2714.824125
497	2714.603426
498	2714.253595
499	2714.022907
500	2713.579614
501	2713.294429
502	2713.050809
503	2712.679348
504	2712.341956
505	2712.128817
506	2712.026538
507	2711.916712
508	2711.506624
509	2711.164873
510	2710.91025
511	2710.664474
512	2710.451581
513	2710.179132
514	2709.852129
515	2709.670415
516	2709.356229
517	2708.997378
518	2708.90648
519	2708.825811
520	2708.409826
521	2708.094314
522	2707.590668
523	2707.31798
524	2707.093378
525	2706.932974
526	2706.717058
527	2706.482186
528	2706.242744
529	2706.112106
530	2705.788092
531	2705.591998
532	2705.337559
533	2705.095877
534	2704.745278
535	2704.630519
536	2704.397926
537	2704.109395
538	2703.574338
539	2703.444172
540	2703.069473
541	2702.902726
542	2702.693346
543	2702.509446
544	2702.372085
545	2702.168837
546	2701.947091
547	2701.670301
548	2701.385594
549	2701.083635
550	2700.817041
551	2700.773263
552	2700.552066
553	2700.115949
554	2699.867631
555	2699.572833
556	2699.441013
557	2699.3254
558	2698.994455
559	2698.825823
560	2698.629275
561	2698.316913
562	2698.167622
563	2697.902928
564	2697.774526
565	2697.547232
566	2697.340741
567	2697.042071
568	2696.825201
569	2696.535171
570	2696.320498
571	2696.01532
572	2695.845576
573	2695.665927
574	2694.899346
575	2694.697839
576	2694.406328
577	2693.831432
578	2693.62815
579	2693.452439
580	2693.205496
581	2693.077313
582	2692.910627
583	2692.761646
584	2692.617587
585	2692.367331
586	2692.089457
587	2691.814095
588	2691.380421
589	2691.112536
590	2690.988188
591	2690.879045
592	2690.624531
593	2690.445618
594	2690.172934
595	2690.036234
596	2689.741545
597	2689.477032
598	2689.396928
599	2689.239488
600	2689.022079
601	2688.755841
602	2688.486017
603	2688.26475
604	2688.032042
605	2687.883237
606	2687.718223
607	2687.371699
608	2687.22193
609	2687.059588
610	2686.975827
611	2686.723577
612	2686.480266
613	2686.292886
614	2686.051654
615	2685.870378
616	2685.783407
617	2685.537823
618	2685.359123
619	2685.29946
620	2685.069098
621	2684.824306
622	2684.606081
623	2684.415078
624	2684.255432
625	2684.076655
626	2683.873842
627	2683.628462
628	2683.420464
629	2683.308171
630	2683.130842
631	2682.943027
