iter	Passed	Remaining
0	117	117495
1	122	60892
2	126	41977
3	131	32695
4	135	27039
5	140	23197
6	144	20525
7	149	18499
8	153	16901
9	158	15657
10	163	14702
11	168	13857
12	173	13139
13	178	12561
14	183	12060
15	188	11591
16	193	11176
17	199	10860
18	203	10527
19	208	10220
20	213	9935
21	218	9695
22	222	9449
23	227	9241
24	232	9048
25	237	8883
26	241	8711
27	246	8550
28	250	8390
29	254	8240
30	259	8119
31	264	8001
32	269	7895
33	274	7809
34	279	7715
35	284	7621
36	289	7537
37	294	7468
38	299	7385
39	304	7317
40	310	7258
41	315	7187
42	319	7119
43	324	7053
44	329	6987
45	334	6929
46	338	6859
47	343	6815
48	348	6761
49	352	6701
50	356	6642
51	362	6600
52	366	6548
53	370	6499
54	375	6456
55	380	6410
56	384	6363
57	389	6319
58	394	6289
59	399	6256
60	404	6219
61	408	6182
62	413	6144
63	417	6106
64	421	6063
65	426	6033
66	430	5999
67	435	5965
68	439	5930
69	444	5901
70	448	5869
71	453	5844
72	457	5814
73	462	5786
74	466	5758
75	471	5726
76	476	5709
77	481	5689
78	485	5665
79	491	5649
80	496	5629
81	500	5602
82	505	5581
83	509	5556
84	513	5529
85	518	5506
86	522	5484
87	526	5460
88	531	5440
89	535	5414
90	540	5399
91	545	5380
92	549	5362
93	554	5344
94	559	5328
95	564	5311
96	568	5293
97	573	5278
98	578	5260
99	582	5240
100	586	5219
101	591	5203
102	595	5184
103	599	5165
104	603	5145
105	608	5133
106	613	5120
107	618	5106
108	622	5086
109	626	5072
110	631	5056
111	635	5039
112	640	5024
113	644	5010
114	648	4994
115	653	4979
116	658	4970
117	663	4956
118	667	4944
119	673	4938
120	677	4924
121	681	4906
122	686	4896
123	691	4881
124	695	4867
125	699	4853
126	704	4843
127	708	4829
128	713	4816
129	718	4805
130	722	4794
131	728	4789
132	732	4777
133	738	4771
134	743	4762
135	747	4749
136	752	4738
137	757	4730
138	761	4717
139	765	4703
140	770	4693
141	774	4682
142	779	4673
143	784	4663
144	789	4657
145	794	4647
146	799	4639
147	804	4631
148	809	4621
149	813	4610
150	818	4602
151	824	4598
152	829	4589
153	834	4583
154	839	4575
155	843	4564
156	848	4556
157	853	4549
158	858	4539
159	862	4528
160	867	4520
161	872	4512
162	876	4500
163	880	4487
164	886	4484
165	891	4476
166	896	4469
167	901	4463
168	906	4456
169	910	4446
170	914	4435
171	919	4427
172	924	4419
173	928	4408
174	933	4401
175	938	4393
176	943	4385
177	947	4374
178	952	4367
179	957	4360
180	961	4351
181	966	4344
182	971	4336
183	976	4329
184	980	4319
185	985	4311
186	989	4302
187	994	4293
188	998	4283
189	1002	4275
190	1007	4267
191	1011	4257
192	1016	4250
193	1021	4243
194	1026	4237
195	1031	4232
196	1036	4225
197	1042	4222
198	1047	4214
199	1052	4208
200	1057	4203
201	1061	4195
202	1066	4187
203	1071	4181
204	1076	4175
205	1081	4168
206	1087	4165
207	1093	4162
208	1098	4157
209	1104	4155
210	1109	4149
211	1115	4147
212	1121	4141
213	1125	4135
214	1132	4134
215	1137	4127
216	1142	4122
217	1147	4117
218	1153	4112
219	1157	4104
220	1162	4097
221	1167	4090
222	1173	4087
223	1177	4079
224	1183	4076
225	1187	4068
226	1192	4061
227	1198	4057
228	1203	4051
229	1208	4044
230	1213	4040
231	1218	4033
232	1223	4026
233	1227	4018
234	1232	4013
235	1237	4007
236	1243	4003
237	1247	3995
238	1252	3986
239	1255	3977
240	1261	3972
241	1265	3965
242	1270	3958
243	1275	3952
244	1280	3946
245	1285	3938
246	1290	3932
247	1294	3925
248	1299	3919
249	1304	3912
250	1308	3905
251	1312	3897
252	1317	3889
253	1322	3883
254	1327	3877
255	1331	3869
256	1335	3861
257	1340	3855
258	1345	3848
259	1349	3842
260	1354	3836
261	1359	3829
262	1364	3824
263	1369	3817
264	1374	3811
265	1378	3804
266	1383	3798
267	1388	3792
268	1393	3785
269	1397	3779
270	1402	3773
271	1407	3767
272	1412	3761
273	1417	3755
274	1421	3747
275	1426	3742
276	1431	3736
277	1435	3728
278	1439	3719
279	1444	3714
280	1448	3707
281	1453	3700
282	1458	3696
283	1463	3690
284	1468	3684
285	1473	3678
286	1478	3674
287	1483	3666
288	1487	3659
289	1493	3655
290	1497	3647
291	1501	3640
292	1505	3632
293	1510	3626
294	1514	3619
295	1518	3612
296	1524	3607
297	1528	3600
298	1533	3595
299	1538	3589
300	1544	3586
301	1548	3579
302	1553	3573
303	1558	3567
304	1562	3561
305	1567	3554
306	1572	3549
307	1578	3546
